opening,eco,tempo,avgEloClass,ratingDiffClass,averageScore,score,count,drawCount,whiteWinCount,blackWinCount
Modern Defense: Pseudo-Austrian Attack,B06,Blitz,1400-1599,White=Black,1,1,1,0,1,0
Pirc Defense: Austrian Attack,B09,Blitz,1400-1599,White=Black,1,1,1,0,1,0
Bishop's Opening: Ponziani Gambit,C24,Bullet,1200-1399,White=Black,0,0,1,0,0,1
Four Knights Game: Spanish Variation,C48,Bullet,1800-1899,White=Black,1,1,1,0,1,0
Zukertort Opening: Black Mustang Defense,A04,Bullet,1200-1399,White=Black,1,1,1,0,1,0
"Danish Gambit Declined, Sorensen Defense",C21,Bullet,1800-1899,Black+200,1,1,1,0,1,0
Queen's Pawn Game: Chigorin Variation,D01,Classical,1800-1899,White+200,1,1,1,0,1,0
King's Pawn Game: Busch-Gass Gambit,C40,?,?,?,1,1,1,0,1,0
"Queen's Pawn Game: Veresov Attack, Classical Defense",D01,Classical,1400-1599,White+200,1,1,1,0,1,0
"King's Gambit Declined, Classical Variation",C30,Classical,1600-1799,White+200,1,1,1,0,1,0
Van Geet Opening,A00,Classical,0-1199,White=Black,1,1,1,0,1,0
"King's Gambit Accepted, Fischer Defense, Spanish Variation",C34,Classical,1600-1799,White+200,1,1,1,0,1,0
Queen's Gambit,D06,Bullet,1800-1899,White=Black,0,0,1,0,0,1
Queen's Gambit Accepted: Normal Variation,D25,Bullet,1800-1899,White=Black,0,0,1,0,0,1
English Opening: Anglo-Scandinavian Defense,A10,Classical,1400-1599,White+400,1,1,1,0,1,0
"Sicilian Defense: Scheveningen Variation, Classical Variation",B84,Blitz,1600-1799,White+400,1,1,1,0,1,0
