opening,eco,tempo,avgEloClass,ratingDiffClass,averageScore,score,count,drawCount,whiteWinCount,blackWinCount
King's Pawn Game,C20,Bullet,1200-1399,Black+200,0,0,4,0,0,4
Sicilian Defense: Open,B33,Classical,1600-1799,Black+200,0.25,1,4,0,1,3
"English Opening: Anglo-Indian Defense, Queen's Knight Variation",A16,Bullet,2000-2199,White=Black,0.25,1,4,0,1,3
"Sicilian Defense: Accelerated Dragon, Exchange Variation",B34,Blitz,1800-1899,Black+200,0.375,1.5,4,1,1,2
"Scotch Game: Scotch Gambit, Advance Variation",C45,Blitz,1800-1899,White=Black,0.75,3,4,0,3,1
"Sicilian Defense: Modern Variations, Tartakower",B53,Bullet,1800-1899,White+200,0.25,1,4,0,1,3
Queen's Gambit Refused: Marshall Defense,D06,Bullet,1400-1599,White+200,0.875,3.5,4,1,3,0
"Queen's Gambit Refused: Austrian Attack, Salvio Countergambit",D06,Classical,1600-1799,Black+200,0,0,4,0,0,4
"Scotch Game: Classical Variation, Intermezzo Variation",C45,Blitz,1600-1799,White=Black,0.5,2,4,0,2,2
"Ruy Lopez: Schliemann Defense, Jaenisch Gambit Accepted",C60,Blitz,1600-1799,Black+200,0,0,4,0,0,4
Queen's Gambit Accepted: Normal Variation,D21,Classical,1200-1399,White=Black,0.5,2,4,0,2,2
Sicilian Defense: Paulsen Variation,B46,Classical,1600-1799,White=Black,0.5,2,4,0,2,2
"Italian Game: Giuoco Pianissimo, Normal",C50,Blitz,1400-1599,White+200,1,4,4,0,4,0
"French Defense: Advance Variation, Nimzowitsch System",C02,Classical,1600-1799,White+200,0.5,2,4,0,2,2
Indian Game,A45,Blitz,1200-1399,White+200,1,4,4,0,4,0
Scandinavian Defense: Blackburne Gambit,B01,Blitz,1400-1599,Black+200,0.25,1,4,0,1,3
Portuguese Opening,C20,Blitz,1400-1599,White+200,0.75,3,4,0,3,1
"Italian Game: Two Knights Defense, Modern Bishop's Opening",C55,Classical,1200-1399,White=Black,1,4,4,0,4,0
King's Pawn Game: Leonardis Variation,C20,Classical,1800-1899,Black+200,0,0,4,0,0,4
Russian Game: Urusov Gambit,C42,Bullet,1400-1599,White+400,0.75,3,4,0,3,1
Queen's Pawn Game: Chigorin Variation,D02,Blitz,2000-2199,White+200,0.75,3,4,0,3,1
Scandinavian Defense: Mieses-Kotroc Variation,B01,Bullet,2000-2199,White+200,0.25,1,4,0,1,3
Trompowsky Attack,A45,Classical,1400-1599,Black+200,0.25,1,4,0,1,3
Queen's Pawn,A41,Bullet,1400-1599,White+200,0.75,3,4,0,3,1
"English Opening: King's English Variation, Reversed Sicilian",A21,Classical,1400-1599,Black+200,0.25,1,4,0,1,3
"English Opening: Symmetrical Variation, Normal Variation",A34,Bullet,2000-2199,White+200,0.5,2,4,0,2,2
French Defense: Knight Variation,C00,Classical,1600-1799,Black+400,0,0,4,0,0,4
Nimzo-Indian Defense #2,E20,Blitz,1400-1599,White+200,0.75,3,4,0,3,1
Queen's Pawn Game: Mason Attack,D00,Blitz,1200-1399,Black+200,0.625,2.5,4,1,2,1
Queen's Gambit Declined,D52,Bullet,1800-1899,White=Black,0.5,2,4,0,2,2
Queen's Pawn Game #2,D00,Bullet,1200-1399,Black+200,0.25,1,4,0,1,3
"Sicilian Defense: Najdorf Variation, English Attack",B90,Bullet,1800-1899,White=Black,0.5,2,4,0,2,2
Duras Gambit,B00,Bullet,1600-1799,White=Black,0.25,1,4,0,1,3
Philidor Defense: Hanham Variation,C41,Bullet,1600-1799,White=Black,0.25,1,4,0,1,3
Goldsmith Defense,B00,Classical,1400-1599,White=Black,0.375,1.5,4,1,1,2
Petrov: Modern Attack,C43,Blitz,1200-1399,White=Black,0.5,2,4,0,2,2
Sicilian Defense: Closed #2,B23,Blitz,1800-1899,Black+200,0.25,1,4,0,1,3
Rat Defense: Small Center Defense,C00,Bullet,1800-1899,White+400,1,4,4,0,4,0
Sicilian Defense: Smith-Morra Gambit,B21,Bullet,1600-1799,White=Black,0.5,2,4,0,2,2
Queen's Pawn Game: Stonewall Attack,D00,Blitz,1600-1799,Black+200,0.5,2,4,0,2,2
Ruy Lopez: Nuernberg Variation,C60,Blitz,1200-1399,White=Black,0.5,2,4,0,2,2
Slav Defense #2,D10,Blitz,1400-1599,White+400,1,4,4,0,4,0
Semi-Slav Defense: Accelerated Move Order,D31,Blitz,1600-1799,White+200,0.875,3.5,4,1,3,0
Sicilian Defense: Loewenthal Variation,B32,Classical,1600-1799,Black+200,0,0,4,0,0,4
"Sicilian Defense: French Variation, Open",B40,Classical,1400-1599,Black+200,0.125,0.5,4,1,0,3
Sicilian Defense: Hyperaccelerated Fianchetto,A42,Blitz,1800-1899,White+200,1,4,4,0,4,0
Russian Game: Cozio (Lasker) Attack,C42,Blitz,1400-1599,White+200,1,4,4,0,4,0
"Ruy Lopez: Morphy Defense, Neo-Arkhangelsk Variation",C78,Classical,1600-1799,White+200,1,4,4,0,4,0
Vienna Game: Max Lange Defense,C25,Classical,1600-1799,White=Black,0,0,4,0,0,4
Danish Gambit,C21,Blitz,1800-1899,White+200,0.75,3,4,0,3,1
Nimzowitsch Defense: Franco-Nimzowitsch Variation,B00,Classical,1200-1399,White+400,0.75,3,4,0,3,1
French Defense: Franco-Hiva Gambit I,C01,Bullet,1600-1799,White+200,0.5,2,4,0,2,2
Alekhine Defense: Balogh Variation,B03,Classical,1600-1799,White=Black,0.625,2.5,4,1,2,1
Giuoco Piano,C50,Blitz,1800-1899,White=Black,0.5,2,4,0,2,2
Colle System #2,D05,Classical,1400-1599,White=Black,0.25,1,4,0,1,3
Nimzo-Indian Defense: Leningrad Variation,E30,Blitz,1600-1799,White+200,0.25,1,4,0,1,3
Hungarian Opening: Sicilian Invitation,A00,Blitz,1800-1899,White=Black,0.25,1,4,0,1,3
Philidor Defense #2,C41,Classical,1400-1599,White+500+,1,4,4,0,4,0
Tarrasch Defense,D32,Classical,1600-1799,White=Black,0.5,2,4,0,2,2
Philidor Defense: Exchange Variation #2,C41,Classical,1400-1599,White+400,0.75,3,4,0,3,1
Nimzo-Larsen Attack: Classical Variation,A01,Blitz,1800-1899,Black+200,0,0,4,0,0,4
King's Pawn Game: Nimzowitsch Defense,B00,Blitz,1600-1799,White+200,0.75,3,4,0,3,1
"Queen's Gambit Accepted: Central Variation, McDonnell Defense",D20,Classical,1400-1599,White=Black,0.5,2,4,0,2,2
"Sicilian Defense: Smith-Morra Gambit Accepted, Fianchetto Defense",B21,Blitz,1800-1899,White=Black,0.5,2,4,0,2,2
Philidor Defense: Exchange Variation,C41,Classical,1600-1799,White+400,0.75,3,4,0,3,1
Italian Game: Classical Variation #2,C53,Blitz,1400-1599,White+200,0.75,3,4,0,3,1
Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,B30,Bullet,1800-1899,White+200,0.875,3.5,4,1,3,0
Queen's Pawn Game #2,D00,Classical,0-1199,Black+200,0.25,1,4,0,1,3
Horwitz Defense,A40,Blitz,1800-1899,White+400,0.5,2,4,0,2,2
"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line",C58,Bullet,1400-1599,White=Black,0,0,4,0,0,4
Old Benoni Defense,A43,Bullet,2000-2199,White=Black,0.25,1,4,0,1,3
King's Pawn Game: Damiano Defense,C40,Blitz,1200-1399,White+400,1,4,4,0,4,0
Nimzo-Larsen Attack: Indian Variation,A01,Blitz,1400-1599,White=Black,0.5,2,4,0,2,2
King's Pawn Game,C20,Classical,1400-1599,White+400,0.75,3,4,0,3,1
Dutch Defense,A84,Classical,1400-1599,White+200,0.5,2,4,0,2,2
Queen's Pawn Game: Franco-Sicilian Defense,C00,Classical,1200-1399,Black+200,0,0,4,0,0,4
"French Defense: Alekhine-Chatard Attack, Breyer Variation",C13,Blitz,1800-1899,White+200,1,4,4,0,4,0
King's Pawn Game: Nimzowitsch Defense,B00,Classical,1400-1599,Black+200,0.125,0.5,4,1,0,3
Slav Defense: Modern Line,D11,Classical,1400-1599,White+200,0.25,1,4,0,1,3
Caro-Kann Defense: Bronstein-Larsen Variation,B16,Blitz,1600-1799,White=Black,0.75,3,4,0,3,1
Bishop's Opening: Vienna Hybrid,C28,Blitz,1200-1399,White=Black,0.5,2,4,0,2,2
Queen's Pawn Game: London System,D02,Classical,1400-1599,Black+200,0.25,1,4,0,1,3
Dutch Defense: Queen's Knight Variation,A85,Blitz,1800-1899,Black+200,0.25,1,4,0,1,3
Slav Defense: Alekhine Variation,D15,Bullet,1400-1599,White+200,1,4,4,0,4,0
Philidor Defense #2,C41,Blitz,1800-1899,White+200,0.75,3,4,0,3,1
Slav Defense #2,D10,Bullet,1800-1899,Black+400,0,0,4,0,0,4
King's Pawn Game: Beyer Gambit,C21,Classical,1400-1599,White+200,1,4,4,0,4,0
Pirc Defense: Classical Variation,B08,Bullet,1200-1399,White=Black,0.5,2,4,0,2,2
Indian Game: Budapest Defense,A51,Blitz,1800-1899,Black+200,0.625,2.5,4,1,2,1
Danish Gambit,C21,Bullet,1400-1599,White+200,0.5,2,4,0,2,2
Italian Game: Classical Variation #2,C53,Blitz,1600-1799,White+200,1,4,4,0,4,0
Sicilian Defense: Open,B33,Blitz,1600-1799,White=Black,0.375,1.5,4,1,1,2
Philidor Defense: Morphy Gambit,C41,Bullet,1600-1799,Black+200,0.25,1,4,0,1,3
Benoni Defense,A56,Bullet,1800-1899,Black+200,0.25,1,4,0,1,3
Alekhine Defense: Brooklyn Variation,B02,Classical,1200-1399,White+400,0.75,3,4,0,3,1
Bishop's Opening: Boi Variation,C20,Classical,1200-1399,Black+200,0.25,1,4,0,1,3
"Sicilian Defense: Closed Variation, Traditional",B25,Classical,1200-1399,White=Black,0.75,3,4,0,3,1
Queen's Gambit Refused: Marshall Defense,D06,Classical,1400-1599,Black+400,0.2,1,5,0,1,4
Pirc Defense #5,B07,Classical,1600-1799,White+200,0.6,3,5,0,3,2
Modern Defense: Standard Line,B06,Bullet,1600-1799,White=Black,0.5,2.5,5,1,2,2
Colle System #2,D05,Bullet,1600-1799,White=Black,0.4,2,5,0,2,3
Sicilian Defense: Smith-Morra Gambit #2,B21,Bullet,1800-1899,White+400,0.6,3,5,0,3,2
"French Defense: Winawer Variation, Advance Variation",C16,Classical,1800-1899,White+200,0.2,1,5,0,1,4
Vienna Game,C27,Bullet,1600-1799,White=Black,1,5,5,0,5,0
"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",B31,Blitz,1800-1899,White=Black,0.4,2,5,0,2,3
Bird Opening: Dutch Variation,A03,Blitz,1200-1399,White+200,0.2,1,5,0,1,4
English Opening: Great Snake Variation,A10,Bullet,1800-1899,Black+200,0.3,1.5,5,1,1,3
Queen's Pawn Game #3,D00,Bullet,1800-1899,White+400,1,5,5,0,5,0
King's Pawn Opening: 2.b3,C20,Classical,1200-1399,Black+200,0.4,2,5,0,2,3
"King's Gambit Accepted, Cunningham Defense",C35,Classical,1600-1799,Black+200,0.6,3,5,0,3,2
Modern Defense,A40,Bullet,1600-1799,Black+200,0.2,1,5,0,1,4
Italian Game,C50,Blitz,1200-1399,White+400,0.8,4,5,0,4,1
Hungarian Opening: Indian Defense,A00,Classical,1400-1599,White+200,0.4,2,5,0,2,3
Russian Game: Three Knights Game,C42,Classical,1200-1399,White+400,1,5,5,0,5,0
Benoni Defense: Old Benoni,A43,Bullet,1800-1899,White=Black,0.7,3.5,5,1,3,1
Scandinavian Defense: Modern Variation #2,B01,Bullet,1800-1899,White+200,0.9,4.5,5,1,4,0
Queen's Gambit Refused: Baltic Defense,D02,Classical,1600-1799,White+200,0.4,2,5,0,2,3
Sicilian Defense: Smith-Morra Gambit #2,B21,Blitz,1600-1799,Black+500+,0,0,5,0,0,5
"French Defense: Advance Variation, Euwe Variation",C02,Classical,1600-1799,White=Black,0.2,1,5,0,1,4
Queen's Gambit Declined: Queen's Knight Variation,D31,Bullet,1800-1899,Black+400,0,0,5,0,0,5
Sicilian Defense,B20,Blitz,1800-1899,Black+400,0.4,2,5,0,2,3
King's Knight Opening: Konstantinopolsky,C44,Classical,1400-1599,White+200,0.6,3,5,0,3,2
Sicilian Defense,B20,Bullet,1800-1899,White+200,0.6,3,5,0,3,2
French Defense: Queen's Knight,C00,Bullet,1600-1799,Black+200,0.2,1,5,0,1,4
"Ruy Lopez: Exchange Variation, Lutikov Variation",C68,Blitz,1400-1599,White+200,0.8,4,5,0,4,1
King's Pawn Opening: 2.b3,C20,Blitz,1600-1799,Black+200,0.4,2,5,0,2,3
Dutch Defense: Korchnoi Attack,A80,Classical,1600-1799,White=Black,0.2,1,5,2,0,3
"English Opening: King's English Variation, Kramnik-Shirov Counterattack",A21,Bullet,1600-1799,White=Black,0.7,3.5,5,1,3,1
Queen's Pawn Game #3,D00,Bullet,1600-1799,Black+200,0.2,1,5,0,1,4
Queen's Gambit Accepted,D20,Blitz,1600-1799,Black+200,0.5,2.5,5,1,2,2
Queen's Pawn Game: Zukertort Variation,D02,Classical,1800-1899,White+200,0.7,3.5,5,1,3,1
"Nimzowitsch Defense: Scandinavian Variation, Advance Variation",B00,Blitz,1200-1399,White+200,0.6,3,5,0,3,2
Petrov: Modern Attack,C43,Bullet,1400-1599,White=Black,0.8,4,5,0,4,1
Nimzowitsch Defense: Franco-Nimzowitsch Variation,B00,Blitz,1400-1599,Black+200,0.3,1.5,5,1,1,3
French Defense: King's Indian Attack,C00,Classical,1400-1599,Black+200,0.4,2,5,0,2,3
Scandinavian Defense: Panov Transfer,B01,Classical,1400-1599,White=Black,0.5,2.5,5,1,2,2
Old Benoni Defense #2,A43,Bullet,1600-1799,White+200,0.8,4,5,0,4,1
Queen's Gambit,D06,Classical,1400-1599,White+400,0.6,3,5,0,3,2
"Sicilian Defense: Najdorf, Lipnitsky Attack",B90,Classical,1600-1799,White=Black,0.5,2.5,5,1,2,2
"Sicilian Defense: Accelerated Dragon, Maroczy Bind",B38,Blitz,1800-1899,White=Black,0.8,4,5,0,4,1
Zukertort Opening: Tennison Gambit,A06,Blitz,1600-1799,White+200,1,5,5,0,5,0
Scandinavian Defense: Panov Transfer,B01,Blitz,1400-1599,Black+200,0,0,5,0,0,5
Queen's Pawn Game: Anti-Torre,D02,Blitz,1600-1799,White+200,0.7,3.5,5,1,3,1
King's Indian Attack,A07,Bullet,1600-1799,Black+200,0.2,1,5,0,1,4
Scotch Game: Schmidt Variation,C45,Classical,1200-1399,Black+200,0.2,1,5,0,1,4
Queen's Gambit Refused: Baltic Defense,D02,Blitz,1400-1599,White+200,0.6,3,5,0,3,2
Zukertort Opening: Pirc Invitation,A04,Classical,1400-1599,Black+200,0.2,1,5,0,1,4
Nimzo-Indian Defense #2,E20,Classical,1600-1799,White=Black,0.4,2,5,0,2,3
Caro-Kann Defense: Main Line,B15,Blitz,1600-1799,White=Black,0.4,2,5,0,2,3
Sicilian Defense,B20,Blitz,1200-1399,White+200,0.4,2,5,0,2,3
"English Opening: Symmetrical Variation, Normal Variation",A34,Bullet,1800-1899,Black+400,0,0,5,0,0,5
Philidor Defense,C41,Bullet,1400-1599,White+500+,0.6,3,5,0,3,2
French Defense: Franco-Hiva Gambit I,C01,Bullet,1600-1799,Black+200,0.4,2,5,0,2,3
Horwitz Defense,A40,Blitz,1200-1399,White+500+,1,5,5,0,5,0
Sicilian Defense: Snyder Variation,B20,Bullet,1600-1799,White=Black,0.4,2,5,0,2,3
Caro-Kann Defense: Advance Variation,B12,Bullet,1600-1799,Black+400,0,0,5,0,0,5
Nimzo-Indian Defense #2,E20,Classical,1400-1599,White=Black,0.5,2.5,5,1,2,2
"Danish Gambit Declined, Sorensen Defense",C21,Blitz,1600-1799,White=Black,0.6,3,5,0,3,2
Benoni Defense: Benoni Gambit Accepted,A43,Bullet,2000-2199,White+200,0.8,4,5,0,4,1
Alekhine Defense: Maroczy Variation,B02,Classical,1400-1599,Black+200,0.6,3,5,0,3,2
English Opening: Agincourt Defense,A13,Blitz,1200-1399,White+200,0.8,4,5,0,4,1
"French Defense: Advance Variation, Milner-Barry Gambit",C02,Blitz,1600-1799,White=Black,0.2,1,5,0,1,4
French Defense: King's Indian Attack,C00,Bullet,1400-1599,Black+400,0,0,5,0,0,5
Zukertort Opening: Sicilian Invitation,A04,Bullet,1800-1899,Black+400,0,0,5,0,0,5
"King's Gambit Accepted, King's Knight Gambit",C37,Bullet,1400-1599,Black+200,0.3,1.5,5,1,1,3
Bird Opening,A03,Classical,1400-1599,White=Black,0.8,4,5,0,4,1
"English Opening: King's English Variation, Reversed Closed Sicilian",A25,Bullet,1600-1799,White+200,0.6,3,5,0,3,2
"Modern Defense: Two Knights Variation, Suttles Variation",B06,Bullet,1800-1899,White=Black,0.2,1,5,0,1,4
"Sicilian Defense: Najdorf Variation, Opocensky Variation",B92,Blitz,1800-1899,White=Black,0.4,2,5,0,2,3
Colle System,D05,Classical,1800-1899,White=Black,0.3,1.5,5,1,1,3
French Defense: Knight Variation,C00,Bullet,2000-2199,Black+400,0.2,1,5,0,1,4
King's Indian Attack,A08,Bullet,1800-1899,White+200,0.8,4,5,0,4,1
Indian Game: Tartakower Attack,A45,Bullet,1400-1599,White+200,0.4,2,5,0,2,3
Philidor Defense: Morphy Gambit,C41,Blitz,1800-1899,White=Black,0.8,4,5,0,4,1
"Italian Game: Two Knights Defense, Modern Bishop's Opening",C55,Blitz,1600-1799,Black+200,0.4,2,5,0,2,3
King's Pawn Game: Damiano Defense,C40,Blitz,1400-1599,Black+200,0.6,3,5,0,3,2
Queen's Gambit Refused: Baltic Defense,D02,Classical,1400-1599,White+200,0.6,3,5,0,3,2
Sicilian Defense: Loewenthal Variation,B32,Blitz,1800-1899,White+200,0.9,4.5,5,1,4,0
"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",B31,Bullet,2000-2199,White=Black,0.2,1,5,0,1,4
Slav Defense: Modern Line,D11,Classical,1600-1799,White=Black,0.4,2,5,0,2,3
Hungarian Opening: Sicilian Invitation,A00,Blitz,1400-1599,Black+200,0.6,3,5,0,3,2
"Queen's Gambit Refused: Chigorin Defense, Janowski Variation",D07,Blitz,1400-1599,White+200,0.8,4,5,0,4,1
Queen's Pawn Game: Stonewall Attack,D00,Blitz,1600-1799,White=Black,1,5,5,0,5,0
Petrov's Defense #2,C42,Classical,1400-1599,White+200,0.8,4,5,0,4,1
"King's Gambit Accepted, Modern Defense",C36,Blitz,1400-1599,White=Black,0.2,1,5,0,1,4
Alekhine Defense: Normal Variation,B02,Blitz,1400-1599,Black+200,0.6,3,5,0,3,2
Queen's Pawn Game #3,D00,Classical,1600-1799,Black+400,0,0,5,0,0,5
Sicilian Defense: French Variation,B40,Bullet,1800-1899,White+200,0.6,3,5,0,3,2
Zukertort Opening: Black Mustang Defense,A04,Classical,1400-1599,Black+200,0.4,2,5,0,2,3
Giuoco Piano,C50,Bullet,1800-1899,White+200,0.6,3,5,0,3,2
French Defense: Steiner Variation,C00,Classical,1400-1599,Black+200,0.2,1,5,0,1,4
Caro-Kann Defense,B15,Classical,1200-1399,White=Black,0.6,3,5,0,3,2
Reti Opening #2,A04,Blitz,1800-1899,White+400,1,5,5,0,5,0
French Defense: Marshall Variation,C10,Bullet,1600-1799,Black+200,0,0,5,0,0,5
Polish Opening,A00,Classical,1600-1799,White+200,0.8,4,5,0,4,1
Indian Game,A45,Blitz,1200-1399,White=Black,0.8,4,5,0,4,1
Sicilian Defense: McDonnell Attack,B21,Bullet,1400-1599,Black+400,0,0,5,0,0,5
Alekhine Defense: Maroczy Variation,B02,Classical,1600-1799,Black+200,0.3,1.5,5,1,1,3
Bird Opening: Dutch Variation,A03,Classical,1600-1799,Black+200,0.4,2,5,0,2,3
Queen's Pawn Game: Franco-Sicilian Defense,C00,Bullet,1600-1799,Black+400,0.2,1,5,0,1,4
Modern Defense: Three Pawns Attack,B06,Blitz,1800-1899,White+200,1,5,5,0,5,0
Hungarian Opening,A00,Blitz,1200-1399,Black+200,0,0,5,0,0,5
Old Indian Defense,A53,Blitz,1600-1799,White=Black,0.6,3,5,0,3,2
Bird Opening: Dutch Variation,A03,Bullet,1600-1799,White=Black,0.4,2,5,0,2,3
Van Geet Opening,A00,Classical,1400-1599,Black+200,0,0,5,0,0,5
Bishop's Opening: Vienna Hybrid,C28,Blitz,1400-1599,White+200,0.6,3,5,0,3,2
"Italian Game: Classical Variation, Albin Gambit",C53,Classical,1600-1799,White+200,0.6,3,5,0,3,2
Sicilian Defense: Lasker-Dunne Attack,B20,Classical,1600-1799,Black+200,0.1,0.5,5,1,0,4
Queen's Pawn Game: Zukertort Variation,D02,Bullet,1200-1399,White+200,1,5,5,0,5,0
Kadas Opening,A00,Classical,1400-1599,White+400,1,5,5,0,5,0
"English Opening: King's English Variation, Reversed Sicilian",A21,Blitz,1200-1399,White=Black,0.5,2.5,5,1,2,2
Sicilian Defense: Smith-Morra Gambit,B21,Classical,1600-1799,White+200,0.8,4,5,0,4,1
Modern Defense: Standard Line,B06,Bullet,1400-1599,White=Black,0.8,4,5,0,4,1
Vienna Game: Mengarini Variation,C26,Blitz,1600-1799,White+200,0.6,3,5,0,3,2
Sicilian Defense: Open #3,B32,Blitz,1400-1599,White+200,0.8,4,5,0,4,1
Slav Defense: Modern Line,D11,Blitz,1600-1799,White=Black,0.6,3,5,0,3,2
Danish Gambit,C21,Blitz,1400-1599,White+200,1,5,5,0,5,0
Benoni Defense: Modern Variation,A60,Classical,1600-1799,White+200,0.6,3,5,0,3,2
Zukertort Opening: Pirc Invitation,A04,Classical,1200-1399,White+200,0.8,4,5,0,4,1
Modern Defense,B06,Classical,1400-1599,White+500+,1,5,5,0,5,0
Four Knights Game: Scotch Variation Accepted,C47,Classical,1200-1399,White=Black,0.8,4,5,0,4,1
Sicilian Defense #2,B54,Blitz,1400-1599,Black+200,0,0,5,0,0,5
Queen's Pawn Game: Steinitz Countergambit,D00,Blitz,1400-1599,White=Black,0.4,2,5,0,2,3
Sicilian Defense: Smith-Morra Gambit,B21,Classical,1400-1599,Black+200,0.4,2,5,0,2,3
"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",B00,Classical,1200-1399,Black+200,0.4,2,5,0,2,3
Caro-Kann Defense,B11,Blitz,1600-1799,Black+200,0.6,3,5,0,3,2
King's Knight Opening: Normal Variation,C44,Classical,1400-1599,White+400,0.8,4,5,0,4,1
Portuguese Opening,C20,Blitz,1400-1599,White=Black,0.8,4,5,0,4,1
Zukertort Opening: Vos Gambit,A04,Bullet,1600-1799,White=Black,0.5,2.5,5,1,2,2
Queen's Pawn Game: Chigorin Variation,D00,Bullet,1600-1799,White=Black,0.4,2,5,0,2,3
Queen's Pawn Game: Chigorin Variation,D02,Bullet,2000-2199,White+400,1,5,5,0,5,0
Queen's Pawn Game: Zukertort Variation,D02,Classical,1400-1599,White+500+,0.8,4,5,0,4,1
Nimzowitsch Defense: Williams Variation,B00,Blitz,1400-1599,White=Black,0.8,4,5,0,4,1
"Italian Game: Classical Variation, Albin Gambit",C53,Classical,1400-1599,White+200,0.8,4,5,0,4,1
"French Defense: Exchange Variation, Monte Carlo Variation",C01,Blitz,1600-1799,White+200,0.7,3.5,5,1,3,1
Queen's Pawn Game: Zukertort Variation,D02,Blitz,1600-1799,White+400,1,5,5,0,5,0
French Defense: Queen's Knight,C00,Blitz,1200-1399,White=Black,0.2,1,5,0,1,4
Queen's Gambit Declined,D30,Classical,1200-1399,Black+200,0.2,1,5,0,1,4
Englund Gambit,A40,Classical,1200-1399,White+200,0.4,2,5,0,2,3
Saragossa Opening,A00,Blitz,1400-1599,White=Black,0.4,2,5,0,2,3
"King's Gambit Declined, Queen's Knight Defense",C30,Classical,1200-1399,White=Black,0.6,3,5,0,3,2
King's Pawn Game: McConnell Defense,C40,Bullet,1400-1599,White=Black,0.4,2,5,0,2,3
Franco-Benoni Defense,A43,Bullet,1800-1899,Black+200,0.1,0.5,5,1,0,4
Sicilian Defense,B50,Bullet,1800-1899,Black+200,0.6,3,5,0,3,2
"English Opening: King's English Variation, Two Knights Variation",A22,Blitz,1600-1799,White=Black,0.2,1,5,0,1,4
King's Gambit Accepted: Modern Defense #2,C36,Blitz,1600-1799,White+200,0.6,3,5,0,3,2
Queen's Gambit Refused: Chigorin Defense,D07,Blitz,1800-1899,White=Black,0.1,0.5,5,1,0,4
Robatsch (Modern) Defense,B06,Blitz,1200-1399,White+200,0.8,4,5,0,4,1
Nimzowitsch Defense: Mikenas Variation,B00,Bullet,1600-1799,White+200,0.8,4,5,0,4,1
Sicilian Defense: Wing Gambit,B20,Blitz,1800-1899,Black+400,0.2,1,5,0,1,4
Bird Opening: Dutch Variation,A03,Classical,1400-1599,Black+200,0.2,1,5,0,1,4
"Alekhine Defense: Modern Variation, Schmid Variation",B04,Blitz,1400-1599,White=Black,0.4,2,5,0,2,3
"Sicilian Defense: Smith-Morra Gambit Accepted, Fianchetto Defense",B21,Bullet,1800-1899,White+200,1,5,5,0,5,0
Sicilian Defense,B20,Blitz,1200-1399,Black+200,0.6,3,5,0,3,2
Caro-Kann Defense,B12,Classical,1600-1799,White+400,0.6,3,5,0,3,2
"English Opening: Symmetrical Variation, Normal Variation",A34,Classical,1600-1799,White+200,0.6,3,5,2,2,1
French Defense: Knight Variation,C00,Blitz,0-1199,White=Black,0.6,3,5,0,3,2
Sicilian Defense: Smith-Morra Gambit,B21,Blitz,1400-1599,White+200,0.7,3.5,5,1,3,1
Queen's Pawn Game: Zukertort Variation,D02,Blitz,1200-1399,White+500+,1,5,5,0,5,0
Bishop's Opening,C23,Bullet,1800-1899,White+200,0.8,4,5,0,4,1
"Ruy Lopez: Schliemann Defense, Jaenisch Gambit Accepted",C60,Blitz,1800-1899,Black+200,0,0,5,0,0,5
Sicilian Defense: McDonnell Attack,B21,Bullet,1600-1799,Black+400,0.2,1,5,0,1,4
Zukertort Opening: Queen's Gambit Invitation,A04,Bullet,1600-1799,White+500+,1,5,5,0,5,0
Sicilian Defense: Alapin Variation,B22,Classical,1800-1899,Black+200,0.2,1,5,0,1,4
Russian Game: Cozio (Lasker) Attack,C42,Blitz,1400-1599,White=Black,0.8,4,5,0,4,1
French Defense: Franco-Hiva Gambit III,C00,Bullet,1600-1799,Black+200,0.8,4,5,0,4,1
Sicilian Defense: Loewenthal Variation,B32,Blitz,1200-1399,White=Black,0.4,2,5,0,2,3
Indian Game,A45,Bullet,1400-1599,Black+500+,0,0,5,0,0,5
Queen's Gambit Accepted: Old Variation,D20,Classical,1200-1399,White=Black,0.6,3,5,0,3,2
Scotch Game,C44,Classical,1600-1799,White+400,0.8,4,5,0,4,1
Rat Defense: Harmonist,B07,Bullet,1600-1799,Black+200,1,5,5,0,5,0
Nimzo-Larsen Attack: Classical Variation,A01,Classical,1400-1599,Black+400,0.4,2,5,0,2,3
Modern Defense: Geller's System,B06,Bullet,1600-1799,White=Black,0.2,1,5,0,1,4
King's Indian Attack: French Variation,A08,Blitz,1600-1799,White+200,0.6,3,5,0,3,2
French Defense: Knight Variation,C00,Blitz,1800-1899,Black+400,0,0,5,0,0,5
Pirc Defense #5,B07,Blitz,1800-1899,White=Black,0.6,3,5,0,3,2
Caro-Kann Defense,B12,Bullet,1400-1599,White+200,0.6,3,5,0,3,2
Ruy Lopez: Berlin Defense #2,C65,Classical,1200-1399,White+200,0.6,3,5,0,3,2
Mikenas Defense,A40,Bullet,1800-1899,White=Black,0.5,2.5,5,1,2,2
Sicilian Defense: Closed Variation,B23,Classical,1200-1399,White=Black,0.6,3,5,0,3,2
Sicilian Defense: Closed Variation,B23,Bullet,1400-1599,White+200,0.6,3,5,0,3,2
Vienna Game: Paulsen Variation,C25,Bullet,1600-1799,White+200,1,5,5,0,5,0
